__CreatedOn,__ModifiedOn,__Owner,__Status,accessible_event,calendar_date,calendar_date_group,calendar_id,calendar_time_of_day,cost_notes,event_category,event_dates,event_description,event_email,event_enddate,event_expirydate,event_features,event_image,event_locations,event_name,event_price,event_price_adult,event_price_child,event_price_high,event_price_low,event_price_pwyc,event_price_senior,event_price_student,event_price_youth,event_startdate,event_status,event_sub_category,event_telephone,event_telephone_ext,event_theme,event_website,facebook_url,featured_event,free_event,id,instagram_url,other_event_category,other_event_sub_category,partnerships,reservations_required,short_description,short_name,submission_id,ticket_email,ticket_telephone,ticket_telephone_ext,ticket_website,twitter_url
2025-09-09T13:43:07.598-04:00,2025-09-09T13:43:07.598-04:00,c3api_config,,Yes,2025-11-21T09:00:00-05:00,2025-11-21,430440c7-abe7-4a85-bc5f-d8e04aa9ce62,Day Event,NA,,,"Created by students from local schools, the works in this exhibition speaks to the seasonal changes from autumn to winter, like snowfalls and long periods of darkness, and the cultural traditions they help shape.",assembly@toronto.ca,2025-12-17T09:00:00-05:00,2025-12-17T09:00:00-05:00,,,,'Tis the Season Art Exhibition,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-18T09:00:00-05:00,Approved,,416-338-7255,NA,,http://toronto.ca/assemblyhall,NA,No,Yes,a195731d-ca74-4f2b-9f94-35556c40146b,NA,NA,NA,,No,"Created by students from local schools, the works in this exhibition speaks to the seasonal changes from autumn to winte",'Tis the Season Art Exhibition,e7445d02-ea69-4cde-8da7-a488d46b5d91,NA,NA,NA,NA,NA
2025-09-16T09:42:23.527-04:00,2025-09-16T09:42:23.527-04:00,c3api_config,,No,2025-10-19T00:00:00-04:00,2025-10-19,a4f795ff-e94f-46bd-a1c3-c94ec1549567,Day Event,NA,,,"Photography comes alive! 

Professional dancers, musicians and poets interpret the work of nine different photographers. View the awesome synergy created in these performances, known as Ekphrasis!  

Exhibit is open for viewing by appointment, please contact. ",info@heliconianclub.org,2025-10-29T00:00:00-04:00,2025-10-29T00:00:00-04:00,,,,"""Luminous"" Photo Exhibition and Performance ",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-03T00:00:00-04:00,Approved,,416-922-3618,NA,,heliconianclub.org,NA,No,Yes,c5a6754c-cf58-403f-b660-87390a4ab0ab,heliconianvisualart,NA,NA,,No,"Photography comes alive! 

Professional dancers, musicians and poets interpret the work of nine different photographers.","""Luminous"" Photo Exhibition and Performance ",7e88f34d-89ea-491c-b3d1-89ab0f729d5f,NA,NA,NA,NA,HeliconianClub
2025-09-16T09:48:17.204-04:00,2025-09-16T09:48:17.204-04:00,c3api_config,,Yes,2025-10-02T17:00:00-04:00,2025-10-02,a4f795ff-e94f-46bd-a1c3-c94ec1549567,Day Event,Please visit website for package discounts and other deals.,,,"Step into the glow, we're back for the sixth year! 

This year, guests can explore the magic like never before with a brand-new layout that lets you move freely between the immersive light show and Pumpkinville at your own pace. Wander through the illuminated maze of over 1.5 million LED and RGB lights, then pop into a vibrant fall fair featuring all new glowing photo ops, installations, midway rides, carnival games, and over 15,000 pumpkins. With new scenes, dazzling photo moments, and an entirely transformed setup, this is not just a walk, it's an adventure!

",info@nightsoflights.ca,2025-11-01T12:00:00-04:00,2025-11-01T23:00:00-04:00,,,,Nights of Lights and Pumpkinville,NA,21.99,16.99,NA,NA,NA,NA,NA,21.99,2025-09-27T17:00:00-04:00,Approved,,NA,NA,,www.nightsoflights.ca,www.facebook.com/nightsoflightsto,No,No,28e19efd-7783-4888-b353-7a3a353d41d9,nightsoflightsto,NA,NA,,Yes,"Step into the glow, we're back for the sixth year! 

This year, guests can explore the magic like never before with a br",Nights of Lights and Pumpkinville,a6255c6e-9576-49ea-967f-436c6fb04cfc,NA,NA,NA,https://www.nightsoflights.ca/buy-tickets.html,NA
2025-09-02T12:59:06.738-04:00,2025-09-02T12:59:06.738-04:00,c3api_config,,Yes,2025-10-08T10:30:00-04:00,2025-10-08,a4f795ff-e94f-46bd-a1c3-c94ec1549567,Day Event,NA,,,"Join us as we celebrate the vibrant, dreamlike worlds of this Korean-Canadian artist, whose work invites quiet reflection and a deep connection to life’s dynamic flow.  

Ellee SY Lee is a Korean-Canadian artist whose semi-abstract landscape paintings explore a range of visual and emotional experiences. Immigrating to Canada as a teenager, she quickly discovered a love for art-making, with painting becoming a powerful and liberating way to connect with her subconscious and emotions. 

",gallery@riverdalehub.ca,2025-10-08T10:30:00-04:00,2025-10-08T17:30:00-04:00,,,,"Exhibition ""In the Rhythm of Being"" by Ellee SY Lee",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-10T10:30:00-04:00,Approved,,NA,NA,,https://riverdalehub.ca/events/artist-talk-ellee-sy-lee/,https://www.facebook.com/TheRiverdaleHub/,No,Yes,7afe2a35-78af-4a9b-932a-1c050e54f8a0,theriverdalehub,NA,NA,,No,"Join us as we celebrate the vibrant, dreamlike worlds of this Korean-Canadian artist, whose work invites quiet reflectio","Exhibition ""In the Rhythm of Being"" by Ellee SY Lee",748b4c2f-f7d3-47a1-8ff2-f00ea6844752,gallery@riverdalehub.ca,NA,NA,https://riverdalehub.ca/gallery-event-registration/,NA
2025-09-10T10:04:16.754-04:00,2025-09-10T10:04:16.754-04:00,c3api_config,,Yes,2025-10-06T10:00:00-04:00,2025-10-06,a4f795ff-e94f-46bd-a1c3-c94ec1549567,Day Event,NA,,,"This is a solo exhibition by Ukrainian-Canadian artist Olga Polstvin.

Olga is a multidisciplinary artist, cultural leader, and Master of Arts Leadership candidate at Queen’s University whose practice bridges painting, storytelling, and community engagement. Born in Kyiv, Ukraine, she carries forward the resilience and cultural memory of her heritage, weaving themes of belonging, healing, and identity into her work.


",shevchenkomuseum@bellnet.ca,2025-10-31T10:00:00-04:00,2025-10-31T21:00:00-04:00,,,,Through the Lens of Ukrainian Belonging,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-26T18:00:00-04:00,Approved,,416-534-8662,NA,,https://www.shevchenko.ca/events/details.cfm?eventid=2165,https://www.facebook.com/ShevchenkoMuseum/,No,Yes,7474a5d1-2d20-4243-8c1b-607aeff3efe8,shevchenko_museum_toronto,NA,NA,,No,"This is a solo exhibition by Ukrainian-Canadian artist Olga Polstvin.

Olga is a multidisciplinary artist, cultural lead",Through the Lens of Ukrainian Belonging,43820997-31d1-44e9-8daa-d3ca36a8ac85,NA,NA,NA,NA,NA
2025-09-10T10:04:17.067-04:00,2025-09-10T10:04:17.067-04:00,c3api_config,,Yes,2025-10-08T10:00:00-04:00,2025-10-08,a4f795ff-e94f-46bd-a1c3-c94ec1549567,Day Event,NA,,,"This is a solo exhibition by Ukrainian-Canadian artist Olga Polstvin.

Olga is a multidisciplinary artist, cultural leader, and Master of Arts Leadership candidate at Queen’s University whose practice bridges painting, storytelling, and community engagement. Born in Kyiv, Ukraine, she carries forward the resilience and cultural memory of her heritage, weaving themes of belonging, healing, and identity into her work.


",shevchenkomuseum@bellnet.ca,2025-10-31T10:00:00-04:00,2025-10-31T21:00:00-04:00,,,,Through the Lens of Ukrainian Belonging,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-26T18:00:00-04:00,Approved,,416-534-8662,NA,,https://www.shevchenko.ca/events/details.cfm?eventid=2165,https://www.facebook.com/ShevchenkoMuseum/,No,Yes,67faa980-0503-44a9-a64f-4d937f3a71c0,shevchenko_museum_toronto,NA,NA,,No,"This is a solo exhibition by Ukrainian-Canadian artist Olga Polstvin.

Olga is a multidisciplinary artist, cultural lead",Through the Lens of Ukrainian Belonging,43820997-31d1-44e9-8daa-d3ca36a8ac85,NA,NA,NA,NA,NA
2025-09-10T10:04:17.231-04:00,2025-09-10T10:04:17.231-04:00,c3api_config,,Yes,2025-10-09T12:00:00-04:00,2025-10-09,a4f795ff-e94f-46bd-a1c3-c94ec1549567,Day Event,NA,,,"This is a solo exhibition by Ukrainian-Canadian artist Olga Polstvin.

Olga is a multidisciplinary artist, cultural leader, and Master of Arts Leadership candidate at Queen’s University whose practice bridges painting, storytelling, and community engagement. Born in Kyiv, Ukraine, she carries forward the resilience and cultural memory of her heritage, weaving themes of belonging, healing, and identity into her work.


",shevchenkomuseum@bellnet.ca,2025-10-31T10:00:00-04:00,2025-10-31T21:00:00-04:00,,,,Through the Lens of Ukrainian Belonging,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-26T18:00:00-04:00,Approved,,416-534-8662,NA,,https://www.shevchenko.ca/events/details.cfm?eventid=2165,https://www.facebook.com/ShevchenkoMuseum/,No,Yes,1e265a4f-6d1e-45d1-a6ff-c409c7b40d35,shevchenko_museum_toronto,NA,NA,,No,"This is a solo exhibition by Ukrainian-Canadian artist Olga Polstvin.

Olga is a multidisciplinary artist, cultural lead",Through the Lens of Ukrainian Belonging,43820997-31d1-44e9-8daa-d3ca36a8ac85,NA,NA,NA,NA,NA
2025-09-10T10:04:17.396-04:00,2025-09-10T10:04:17.396-04:00,c3api_config,,Yes,2025-10-10T10:00:00-04:00,2025-10-10,a4f795ff-e94f-46bd-a1c3-c94ec1549567,Day Event,NA,,,"This is a solo exhibition by Ukrainian-Canadian artist Olga Polstvin.

Olga is a multidisciplinary artist, cultural leader, and Master of Arts Leadership candidate at Queen’s University whose practice bridges painting, storytelling, and community engagement. Born in Kyiv, Ukraine, she carries forward the resilience and cultural memory of her heritage, weaving themes of belonging, healing, and identity into her work.


",shevchenkomuseum@bellnet.ca,2025-10-31T10:00:00-04:00,2025-10-31T21:00:00-04:00,,,,Through the Lens of Ukrainian Belonging,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-26T18:00:00-04:00,Approved,,416-534-8662,NA,,https://www.shevchenko.ca/events/details.cfm?eventid=2165,https://www.facebook.com/ShevchenkoMuseum/,No,Yes,28991fb5-9483-496b-ada0-526f141603b5,shevchenko_museum_toronto,NA,NA,,No,"This is a solo exhibition by Ukrainian-Canadian artist Olga Polstvin.

Olga is a multidisciplinary artist, cultural lead",Through the Lens of Ukrainian Belonging,43820997-31d1-44e9-8daa-d3ca36a8ac85,NA,NA,NA,NA,NA
2025-09-10T10:04:17.713-04:00,2025-09-10T10:04:17.713-04:00,c3api_config,,Yes,2025-10-14T10:00:00-04:00,2025-10-14,a4f795ff-e94f-46bd-a1c3-c94ec1549567,Day Event,NA,,,"This is a solo exhibition by Ukrainian-Canadian artist Olga Polstvin.

Olga is a multidisciplinary artist, cultural leader, and Master of Arts Leadership candidate at Queen’s University whose practice bridges painting, storytelling, and community engagement. Born in Kyiv, Ukraine, she carries forward the resilience and cultural memory of her heritage, weaving themes of belonging, healing, and identity into her work.


",shevchenkomuseum@bellnet.ca,2025-10-31T10:00:00-04:00,2025-10-31T21:00:00-04:00,,,,Through the Lens of Ukrainian Belonging,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-09-26T18:00:00-04:00,Approved,,416-534-8662,NA,,https://www.shevchenko.ca/events/details.cfm?eventid=2165,https://www.facebook.com/ShevchenkoMuseum/,No,Yes,d52358f8-4252-437f-9e05-68ff03faa1c9,shevchenko_museum_toronto,NA,NA,,No,"This is a solo exhibition by Ukrainian-Canadian artist Olga Polstvin.

Olga is a multidisciplinary artist, cultural lead",Through the Lens of Ukrainian Belonging,43820997-31d1-44e9-8daa-d3ca36a8ac85,NA,NA,NA,NA,NA
2025-09-16T09:42:11.334-04:00,2025-09-16T09:42:11.334-04:00,c3api_config,,No,2025-10-08T00:00:00-04:00,2025-10-08,a4f795ff-e94f-46bd-a1c3-c94ec1549567,Day Event,NA,,,"Photography comes alive! 

Professional dancers, musicians and poets interpret the work of nine different photographers. View the awesome synergy created in these performances, known as Ekphrasis!  

Exhibit is open for viewing by appointment, please contact. ",info@heliconianclub.org,2025-10-29T00:00:00-04:00,2025-10-29T00:00:00-04:00,,,,"""Luminous"" Photo Exhibition and Performance ",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-10-03T00:00:00-04:00,Approved,,416-922-3618,NA,,heliconianclub.org,NA,No,Yes,1f8b93b7-0186-43eb-be2e-916df3772d4e,heliconianvisualart,NA,NA,,No,"Photography comes alive! 

Professional dancers, musicians and poets interpret the work of nine different photographers.","""Luminous"" Photo Exhibition and Performance ",7e88f34d-89ea-491c-b3d1-89ab0f729d5f,NA,NA,NA,NA,HeliconianClub
